"filename", "language", "XML", "JSON", "HTML", "Markdown", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/.idea/misc.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/.idea/modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/.idea/qrms_frontend.iml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 33, 71
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/package-lock.json", "JSON", 0, 21061, 0, 0, 0, 0, 0, 1, 21062
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 1, 52
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/public/index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 1, 21
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/public/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/App.css", "CSS", 0, 0, 0, 0, 0, 56, 0, 10, 66
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/App.js", "JavaScript", 0, 0, 0, 0, 56, 0, 1, 9, 66
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/App.test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 2, 9
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/AdminDashboard.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 6, 19
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/CourseList.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 5, 29
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/CourseList.js", "JavaScript", 0, 0, 0, 0, 34, 0, 1, 5, 40
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Footer.css", "CSS", 0, 0, 0, 0, 0, 30, 1, 7, 38
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Footer.js", "JavaScript", 0, 0, 0, 0, 16, 0, 1, 4, 21
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Header.css", "CSS", 0, 0, 0, 0, 0, 46, 1, 10, 57
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Header.js", "JavaScript", 0, 0, 0, 0, 36, 0, 1, 6, 43
