"filename", "language", "XML", "JSON", "HTML", "Markdown", "JavaScript", "CSS", "Java", "comment", "blank", "total"
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/QrAmsApplication.java", "Java", 0, 0, 0, 0, 0, 0, -12, 0, -7, -19
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/config/WebConfig.java", "Java", 0, 0, 0, 0, 0, 0, -13, -10, -3, -26
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/CourseController.java", "Java", 0, 0, 0, 0, 0, 0, -89, -8, -26, -123
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/MainAppController.java", "Java", 0, 0, 0, 0, 0, 0, -15, 0, -4, -19
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/ProfessorController.java", "Java", 0, 0, 0, 0, 0, 0, -35, 0, -8, -43
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/StudentController.java", "Java", 0, 0, 0, 0, 0, 0, -86, 0, -20, -106
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/UserController.java", "Java", 0, 0, 0, 0, 0, 0, -74, -3, -16, -93
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/model/Admin.java", "Java", 0, 0, 0, 0, 0, 0, -18, 0, -9, -27
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/model/Attendance.java", "Java", 0, 0, 0, 0, 0, 0, -46, 0, -13, -59
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/model/AttendanceResponseDTO.java", "Java", 0, 0, 0, 0, 0, 0, -43, -3, -15, -61
